id,host_id,latitude,longitude,neighbourhood_cleansed,price,room_type,property_type,accommodates,bedrooms,beds,bathrooms_text,minimum_nights,availability_365,number_of_reviews,review_scores_rating,instant_bookable,host_is_superhost,license,calculated_host_listings_count,reviews_per_month,price_w,log_price,log_price_w
945600616013218143,94868589,43.65971,-79.34131,South Riverdale,225.0,Entire home/apt,Entire rental unit,4,2.0,2.0,1 bath,2,6,8,5.0,t,f,STR-2107-GBTHHD,1,0.29,225.0,5.41610040220442,5.41610040220442
945605885818533201,253678734,43.64893,-79.41827,Trinity-Bellwoods,220.0,Entire home/apt,Entire home,4,2.0,2.0,1.5 baths,31,269,0,4.89,f,f,Unknown,24,0.87,220.0,5.393627546352362,5.393627546352362
945645822679437216,528451450,43.78626522791472,-79.34522839066487,Don Valley Village,73.0,Private room,Private room in home,2,1.0,1.0,1 private bath,28,315,31,4.9,f,f,STR-2307-HTCVHY,1,1.12,73.0,4.290459441148391,4.290459441148391
945821647412792236,4670700,43.63932,-79.41074,Niagara,386.0,Entire home/apt,Entire rental unit,8,3.0,3.0,3 baths,180,364,1,5.0,f,f,STR-2106-FZJRVD,1,0.24,386.0,5.955837369464831,5.955837369464831
945846867787754805,55442,43.65839802088815,-79.38200947251948,Bay Street Corridor,200.0,Entire home/apt,Entire rental unit,4,1.0,2.0,1 bath,28,270,0,4.89,f,f,Unknown,14,0.87,200.0,5.298317366548036,5.298317366548036
945863856148196568,528515514,43.69770651842082,-79.3253058337244,Old East York,99.0,Private room,Private room in home,2,1.0,1.0,1 private bath,1,260,33,4.94,f,t,STR-2307-GPJVHT,1,1.23,99.0,4.59511985013459,4.59511985013459
945957695917025900,67378661,43.63957857913998,-79.41657954788737,Niagara,301.0,Entire home/apt,Entire rental unit,2,1.0,1.0,1 bath,28,87,0,4.89,f,f,Unknown,1,0.87,301.0,5.707110264748875,5.707110264748875
946216885821590068,87337314,43.6561188,-79.3631853,Regent Park,226.0,Entire home/apt,Entire rental unit,4,2.0,2.0,1.5 baths,3,144,44,4.95,f,f,STR-2308-FHPPHP,1,1.74,226.0,5.420534999272286,5.420534999272286
946248293770944500,196650492,43.78304,-79.17669,Highland Creek,243.0,Entire home/apt,Entire home,9,5.0,6.0,2.5 baths,30,365,0,4.89,t,f,Unknown,1,0.87,243.0,5.493061443340548,5.493061443340548
946256210650563183,363726882,43.69165,-79.35191,Broadview North,87.0,Private room,Private room in home,2,1.0,1.0,1 private bath,1,85,123,4.88,f,Unknown,STR-2306-FZDXVR,1,4.41,87.0,4.465908118654584,4.465908118654584
946297903224913087,70704838,43.648612722847474,-79.38958053492996,Waterfront Communities-The Island,216.0,Entire home/apt,Entire rental unit,2,1.0,1.0,1 bath,1,11,91,4.98,f,t,STR-2307-JBTHHZ,1,3.35,216.0,5.375278407684165,5.375278407684165
946352825094297024,222128268,43.69915091057859,-79.42328149919345,Forest Hill South,360.0,Entire home/apt,Entire home,11,5.0,6.0,3 baths,3,291,49,4.8,t,t,STR-2304-HKJPHX,1,1.84,360.0,5.886104031450156,5.886104031450156
946371758196808357,454774197,43.68464,-79.32496,Danforth,90.0,Entire home/apt,Entire rental unit,1,1.0,1.0,1 bath,90,359,0,4.89,f,f,Unknown,1,0.87,90.0,4.499809670330265,4.499809670330265
946384156678748516,409754906,43.79166,-79.42153,Newtonbrook West,86.0,Entire home/apt,Entire home,2,0.0,1.0,1 bath,28,333,2,4.5,t,f,Unknown,1,0.08,86.0,4.454347296253507,4.454347296253507
946414343121559550,528654923,43.63668613258383,-79.4040135688993,Niagara,940.0,Entire home/apt,Entire rental unit,4,1.0,2.0,1 bath,28,270,11,4.91,f,f,STR-2305-HWDVHY,1,0.46,900.0,6.84587987526405,6.802394763324311
946564558470091366,230054457,43.70711,-79.27651,Clairlea-Birchmount,119.0,Private room,Private room in home,4,2.0,2.0,1 private bath,2,346,52,4.83,f,f,STR-2307-GVLBHV,1,1.91,119.0,4.77912349311153,4.77912349311153
946954080708771979,466657491,43.66038,-79.33467,South Riverdale,145.0,Private room,Private room in home,2,1.0,1.0,1 private bath,1,338,82,4.98,f,t,STR-2303-FWHHHR,3,2.96,145.0,4.976733742420574,4.976733742420574
947270805967477011,30546047,43.794919937058005,-79.1447641612008,Centennial Scarborough,40.0,Private room,Private room in home,2,1.0,1.0,1 bath,365,364,0,4.89,f,f,Unknown,1,0.87,40.0,3.6888794541139363,3.6888794541139363
